,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
0,600887.SH,20201022,42.19,42.3,41.3,42.14,41.85,0.28999999999999915,0.693,365867.47,1530855.03,75.751,,,0,
1,600887.SH,20201021,41.84,41.9,41.15,41.85,41.5,0.3500000000000014,0.8434,368380.77,1531399.112,75.751,,,0,0.0
2,600887.SH,20201020,40.45,41.7,40.42,41.5,40.18,1.3200000000000005,3.2852,396565.96,1631908.065,75.751,,,0,0.0
3,600887.SH,20201019,41.21,41.65,40.06,40.18,41.21,-1.0300000000000011,-2.4994,516927.34,2096262.759,75.751,,,0,0.0
4,600887.SH,20201016,41.4,42.14,40.85,41.21,41.47,-0.259999999999998,-0.627,262380.69,1085971.709,75.751,,,0,0.0
5,600887.SH,20201015,41.9,42.0,41.24,41.47,41.8,-0.3299999999999983,-0.7895,358506.35,1489101.552,75.751,,,0,0.0
6,600887.SH,20200930,38.56,39.35,38.3,38.5,38.29,0.21000000000000085,0.5484,362272.54,1404863.691,75.751,,,0,0.0
7,600887.SH,20200929,38.61,38.65,38.02,38.29,38.18,0.10999999999999943,0.2881,262770.63,1008006.92,75.751,,,0,0.0
8,600887.SH,20200928,38.94,39.02,38.0,38.18,38.11,0.07000000000000027,0.1837,301947.9,1163735.598,75.751,,,0,0.0
9,600887.SH,20200925,37.8,38.49,37.77,38.11,37.9,0.21000000000000085,0.5541,252615.34,965935.239,75.751,,,0,0.0
10,600887.SH,20200924,38.6,38.65,37.6,37.9,38.85,-0.9500000000000028,-2.4453,447502.31,1698680.785,75.751,,,0,0.0
11,600887.SH,20200923,38.91,39.15,38.48,38.85,38.63,0.21999999999999886,0.5695,303052.91,1175689.575,75.751,,,0,0.0
12,600887.SH,20200922,38.5,39.36,38.32,38.63,38.55,0.0800000000000054,0.2075,319063.91,1239668.674,75.751,,,0,0.0
13,600887.SH,20200921,39.34,39.58,38.53,38.55,39.35,-0.8000000000000043,-2.033,379971.01,1473383.649,75.751,,,0,0.0
14,600887.SH,20200918,38.33,39.35,37.97,39.35,38.16,1.1900000000000048,3.1184,479017.84,1857113.458,75.751,,,0,0.0
