,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
0,600036.SH,20201022,41.0,42.0,40.33,41.19,40.8,0.39000000000000057,0.9559,644974.99,2649384.824,5.061,,,0,
1,600036.SH,20201021,40.06,40.87,39.99,40.8,39.97,0.8299999999999983,2.0766,541855.65,2193121.567,5.061,,,0,0.0
2,600036.SH,20201020,40.0,40.31,39.7,39.97,39.99,-0.02000000000000313,-0.05,424368.36,1697045.4340000001,5.061,,,0,0.0
3,600036.SH,20201019,40.29,41.55,39.89,39.99,39.78,0.21000000000000085,0.5279,981546.59,3988837.84,5.061,,,0,0.0
4,600036.SH,20201016,38.91,40.2,38.88,39.78,39.01,0.7700000000000031,1.9739,1105895.8,4401811.725,5.061,,,0,0.0
5,600036.SH,20201015,38.14,39.23,38.05,39.01,38.05,0.9600000000000009,2.523,1196657.2,4656771.635,5.061,,,0,0.0
6,600036.SH,20200930,36.3,36.57,35.8,36.0,36.31,-0.3100000000000023,-0.8538,654660.59,2365489.193,5.061,,,0,0.0
7,600036.SH,20200929,37.35,37.45,36.27,36.31,37.25,-0.9399999999999976,-2.5235,796689.1,2920847.323000001,5.061,,,0,0.0
8,600036.SH,20200928,37.2,37.65,37.05,37.25,37.18,0.07000000000000027,0.1883,353244.76,1317478.208,5.061,,,0,0.0
9,600036.SH,20200925,37.1,37.4,37.08,37.18,37.06,0.11999999999999746,0.3238,352251.53,1312142.06,5.061,,,0,0.0
10,600036.SH,20200924,37.35,37.35,36.9,37.06,37.5,-0.4399999999999977,-1.1733,540279.75,2003636.08,5.061,,,0,0.0
11,600036.SH,20200923,37.82,38.05,37.4,37.5,37.88,-0.38000000000000256,-1.0032,430760.28,1621415.675,5.061,,,0,0.0
12,600036.SH,20200922,38.5,38.6,37.74,37.88,38.6,-0.7199999999999989,-1.8653,583116.89,2223417.612,5.061,,,0,0.0
13,600036.SH,20200921,39.0,39.13,38.6,38.6,38.99,-0.39000000000000057,-1.0003,501520.92,1945258.027,5.061,,,0,0.0
14,600036.SH,20200918,37.85,38.99,37.8,38.99,37.87,1.1200000000000043,2.9575,1081692.4,4177287.388,5.061,,,0,0.0
15,600036.SH,20200917,38.1,38.47,37.85,37.87,38.06,-0.1900000000000049,-0.4992,557713.54,2127941.227,5.061,,,0,0.0
16,600036.SH,20200916,37.96,38.3,37.78,38.06,37.9,0.1600000000000037,0.4222,478874.82,1822671.349,5.061,,,0,0.0
17,600036.SH,20200915,37.26,38.09,37.23,37.9,37.35,0.5499999999999972,1.4726,530804.95,2003397.793,5.061,,,0,0.0
18,600036.SH,20200914,37.4,37.58,37.07,37.35,37.24,0.10999999999999943,0.2954,460239.97,1713839.187,5.061,,,0,0.0
19,600036.SH,20200911,37.87,37.88,37.02,37.24,37.7,-0.4600000000000009,-1.2202,553105.13,2064258.658,5.061,,,0,0.0
20,600036.SH,20200910,37.88,37.91,37.37,37.7,37.6,0.10000000000000142,0.266,550146.07,2072364.501,5.061,,,0,0.0
21,600036.SH,20200909,37.27,37.95,37.16,37.6,37.59,0.009999999999998007,0.0266,605433.34,2276406.652,5.061,,,0,0.0
22,600036.SH,20200908,37.18,37.62,37.02,37.59,36.79,0.8000000000000043,2.1745,683544.91,2558811.2090000003,5.061,,,0,0.0
23,600036.SH,20200907,36.8,37.58,36.69,36.79,36.8,-0.009999999999998007,-0.0272,616138.78,2285992.289,5.061,,,0,0.0
24,600036.SH,20200904,36.63,36.89,36.35,36.8,36.98,-0.17999999999999972,-0.4867,485437.21,1780424.306,5.061,38.0964,,0,0.0
25,600036.SH,20200903,37.12,37.43,36.76,36.98,37.2,-0.220000000000006,-0.5914,640479.56,2369898.817,5.061,37.928000000000004,,0,0.0
