,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
0,601318.SH,20201022,82.52,82.88,80.28,82.1,82.4,-0.30000000000001137,-0.3641,466970.87,3811833.387,2.4730000000000003,,,0,
1,601318.SH,20201021,81.75,82.58,81.27,82.4,81.23,1.1700000000000017,1.4404,492491.62,4040506.423,2.4730000000000003,,,0,0.0
2,601318.SH,20201020,81.75,82.0,81.11,81.23,81.85,-0.6199999999999903,-0.7575,413185.8,3363220.8389999997,2.4730000000000003,,,0,0.0
3,601318.SH,20201019,82.67,84.38,81.81,81.85,82.0,-0.15000000000000568,-0.1829,917423.76,7642713.658,2.4730000000000003,,,0,0.0
4,601318.SH,20201016,81.8,82.89,81.5,82.0,81.4,0.5999999999999943,0.7371,607032.8,4992393.588,2.4730000000000003,,,0,0.0
5,601318.SH,20201015,81.4,82.86,81.3,81.4,81.38,0.020000000000010232,0.0246,555021.87,4555169.176,2.4730000000000003,,,0,0.0
6,601318.SH,20200930,76.9,77.44,76.01,76.26,76.8,-0.539999999999992,-0.7031,476257.73,3652745.796,2.4730000000000003,,,0,0.0
7,601318.SH,20200929,78.49,78.5,76.7,76.8,77.95,-1.1500000000000057,-1.4753,519920.04,4014297.165,2.4730000000000003,,,0,0.0
8,601318.SH,20200928,77.59,78.59,77.41,77.95,77.59,0.35999999999999943,0.464,371773.71,2897251.524,2.4730000000000003,,,0,0.0
9,601318.SH,20200925,77.86,77.88,77.0,77.59,77.07,0.5200000000000102,0.6747,356683.75,2760347.918,2.4730000000000003,,,0,0.0
10,601318.SH,20200924,78.19,78.5,77.0,77.07,78.56,-1.4900000000000089,-1.8966,608372.88,4720617.558,2.4730000000000003,,,0,0.0
11,601318.SH,20200923,79.5,79.57,78.44,78.56,79.07,-0.5099999999999909,-0.645,362116.16,2855189.686,2.4730000000000003,,,0,0.0
12,601318.SH,20200922,79.7,80.73,79.0,79.07,80.93,-1.8600000000000136,-2.2983,679381.47,5407048.622,2.4730000000000003,,,0,0.0
13,601318.SH,20200921,82.9,83.08,80.93,80.93,82.89,-1.9599999999999933,-2.3646,845313.59,6909679.017999998,2.4730000000000003,,,0,0.0
14,601318.SH,20200918,79.6,83.06,79.48,82.89,79.0,3.890000000000001,4.9241,1776007.75,14522782.208,2.4730000000000003,,,0,0.0
15,601318.SH,20200917,79.11,79.78,78.7,79.0,78.6,0.4000000000000057,0.5089,668306.42,5303741.282,2.4730000000000003,,,0,0.0
16,601318.SH,20200916,79.29,79.49,78.44,78.6,79.11,-0.5100000000000051,-0.6447,467947.54,3693757.689,2.4730000000000003,,,0,0.0
17,601318.SH,20200915,77.7559,79.6664,76.766,79.1022,77.7559,1.3462999999999994,1.7314,1014350.44,8095818.927,2.448,,,0,0.0
18,601318.SH,20200914,76.8353,78.3004,76.8353,77.7559,76.4295,1.3263999999999925,1.7355,729991.87,5730571.509,2.448,,,0,0.0
19,601318.SH,20200911,75.6376,76.7165,75.3901,76.4295,75.7464,0.6831000000000103,0.9018,462178.23,3557564.884,2.448,,,0,0.0
20,601318.SH,20200910,76.182,76.5582,75.6277,75.7464,75.7068,0.039599999999992974,0.0523,530354.37,4078037.119,2.448,,,0,0.0
21,601318.SH,20200909,75.6079,76.766,75.5584,75.7068,76.3602,-0.6534000000000049,-0.8557,523982.17,4026858.724,2.448,,,0,0.0
22,601318.SH,20200908,75.2119,76.6769,74.9347,76.3602,74.3012,2.0590000000000117,2.7712,866030.09,6642255.588,2.448,,,0,0.0
23,601318.SH,20200907,74.0636,75.4792,73.9943,74.3012,74.0636,0.2376000000000005,0.3208,633250.76,4787525.506,2.448,,,0,0.0
24,601318.SH,20200904,74.0438,74.3408,73.7964,74.0636,74.6279,-0.5643000000000029,-0.7562,478255.76,3575937.3860000004,2.448,78.606632,,0,0.0
25,601318.SH,20200903,75.2218,75.6475,74.3903,74.6279,75.1624,-0.5345000000000084,-0.7111,599836.64,4540579.467,2.448,78.307748,,0,0.0
26,601318.SH,20200902,75.8355,76.0236,74.8357,75.1624,75.6079,-0.4454999999999956,-0.5892,556376.7,4229574.5030000005,2.448,78.01824400000001,,0,0.0
27,601318.SH,20200901,75.3109,75.8157,75.2317,75.6079,75.8454,-0.2374999999999972,-0.3131,471250.55,3593513.07,2.448,77.79336,,0,0.0
28,601318.SH,20200831,77.1026,78.0034,75.8058,75.8454,77.1026,-1.2571999999999974,-1.6306,723129.73,5624026.414,2.448,77.55317600000001,,0,0.0
29,601318.SH,20200828,75.697,77.4194,75.0832,77.1026,75.7662,1.3363999999999976,1.7638,765028.13,5893644.072000002,2.448,77.35728,,0,0.0
30,601318.SH,20200827,76.3701,76.3899,75.2317,75.7662,76.0236,-0.2574000000000041,-0.3386,448833.59,3425207.259,2.448,77.131928,,0,0.0
31,601318.SH,20200826,77.2115,77.26100000000002,75.8256,76.0236,77.3204,-1.2968000000000046,-1.6772,542775.09,4191632.778,2.448,77.122472,,0,0.0
32,601318.SH,20200825,77.2115,78.0826,76.8155,77.3204,77.0135,0.30690000000001305,0.3985,530479.42,4149072.334,2.448,77.143288,,0,0.0
33,601318.SH,20200824,78.1519,78.2014,76.8452,77.0135,77.459,-0.4455000000000098,-0.5751,472804.41,3698163.543,2.448,77.105828,,0,0.0
34,601318.SH,20200821,77.5085,77.9638,76.766,77.459,76.8155,0.6435000000000031,0.8377,424459.3,3315620.08,2.448,77.100588,,0,0.0
35,601318.SH,20200820,77.3105,77.3105,76.3701,76.8155,77.3798,-0.5643000000000029,-0.7293,498422.48,3863022.133,2.448,77.09040800000001,,0,0.0
36,601318.SH,20200819,78.7953,79.3002,77.3798,77.3798,78.9438,-1.5639999999999932,-1.9812,564733.84,4458976.788,2.448,77.04320000000001,,0,0.0
37,601318.SH,20200818,79.9832,80.0822,78.5973,78.9438,80.2801,-1.3363000000000085,-1.6645,842505.96,6735058.126,2.448,77.03815200000001,,0,0.0
38,601318.SH,20200817,77.4392,81.7353,77.4392,80.2801,77.3996,2.8804999999999983,3.7216,1739400.16,14077887.673,2.448,77.012156,,0,0.0
39,601318.SH,20200814,75.697,77.6965,75.5683,77.3996,75.8256,1.5740000000000125,2.0758,632473.71,4893057.493,2.448,76.79254,,0,0.0
40,601318.SH,20200813,76.7165,76.8155,75.7365,75.8256,76.38,-0.5544000000000011,-0.7258,421355.47,3236112.23,2.448,76.66556399999999,,0,0.0
41,601318.SH,20200812,76.0236,76.6769,75.6277,76.38,75.9939,0.3860999999999989,0.5081,586012.65,4513022.466,2.448,76.576764,,0,0.0
42,601318.SH,20200811,76.667,77.8846,75.7365,75.9939,76.2315,-0.2376000000000005,-0.3117,775309.0,6036019.284,2.448,76.452432,,0,0.0
43,601318.SH,20200810,75.2515,76.9046,75.0535,76.2315,75.5584,0.6730999999999909,0.8908,700073.23,5396774.601,2.448,76.391456,,0,0.0
44,601318.SH,20200807,76.182,76.8848,75.2416,75.5584,76.3701,-0.8116999999999877,-1.0629,549808.98,4215768.273,2.448,76.356612,,0,0.0
45,601318.SH,20200806,76.2216,77.1026,75.4396,76.3701,76.3503,0.01979999999998938,0.0259,647563.03,4979623.105,2.448,76.38156000000001,,0,0.0
46,601318.SH,20200805,77.1521,77.16199999999998,75.8256,76.3503,77.8747,-1.5244,-1.9575,787805.92,6075388.456,2.448,76.40730000000002,,0,0.0
47,601318.SH,20200804,76.0335,78.5478,75.4297,77.8747,75.6673,2.207400000000007,2.9172,1481461.65,11554011.371,2.448,76.46788000000001,,0,0.0
48,601318.SH,20200803,75.5782,75.9048,75.0139,75.6673,75.1327,0.5345999999999975,0.7115,855247.65,6513674.699,2.448,76.52252400000002,,0,0.0
49,601318.SH,20200731,75.2317,76.4691,74.4398,75.1327,75.2614,-0.12869999999999493,-0.171,748520.42,5701005.305,2.448,76.56528800000002,,0,0.0
50,601318.SH,20200730,76.6077,76.6472,75.2515,75.2614,76.5186,-1.2572000000000116,-1.643,646243.26,4940867.6280000005,2.448,76.59062800000002,,0,0.0
51,601318.SH,20200729,75.2317,77.2115,74.9842,76.5186,75.6079,0.9107000000000056,1.2045,702865.26,5415279.238,2.448,76.64487600000002,,0,0.0
52,601318.SH,20200728,76.2117,76.5186,75.1822,75.6079,75.6574,-0.04949999999999477,-0.0654,639858.71,4893527.505,2.448,76.64487600000002,,0,0.0
53,601318.SH,20200727,76.4988,77.0036,74.9347,75.6574,76.2216,-0.5641999999999996,-0.7402,734798.99,5615185.667,2.448,76.63735600000004,,0,0.0
54,601318.SH,20200724,78.0826,78.0925,75.6079,76.2216,78.2014,-1.979800000000012,-2.5317,1072693.4,8306516.311000002,2.448,76.60211600000004,,0,0.0
55,601318.SH,20200723,78.2014,79.0725,77.2313,78.2014,79.122,-0.9205999999999932,-1.1635,782100.45,6158187.2760000015,2.448,76.69952400000004,,0,0.0
56,601318.SH,20200722,79.3991,81.0226,78.6369,79.122,79.9436,-0.8216000000000037,-1.0277,877513.22,7056923.502,2.448,76.82346000000004,,0,0.0
57,601318.SH,20200721,82.1114,82.3589,79.5575,79.9436,81.963,-2.0193999999999903,-2.4638,904774.83,7340189.248,2.448,76.92838800000004,,0,0.0
58,601318.SH,20200720,78.2509,81.9828,78.2509,81.963,77.2313,4.7316999999999885,6.1267,1377547.79,11212026.913,2.448,77.12636800000004,,0,0.0
59,601318.SH,20200717,78.2014,78.5874,76.5285,77.2313,77.4293,-0.1979999999999933,-0.2557,875035.28,6849600.333,2.448,77.11726000000003,,0,0.0
