,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
15,600519.SH,20200917,1700.0,1700.0,1658.0,1670.52,1725.1,-54.579999999999934,-3.1639,63679.85,10683350.187,7.404,,,0,0.0
16,600519.SH,20200916,1760.0,1764.81,1719.0,1725.1,1760.0,-34.90000000000009,-1.983,22515.98,3916457.762,7.404,,,0,0.0
17,600519.SH,20200915,1769.99,1769.99,1747.75,1760.0,1766.0,-6.0,-0.3398,20820.87,3654872.009,7.404,,,0,0.0
18,600519.SH,20200914,1745.0,1769.0,1730.58,1766.0,1733.0,33.0,1.9042,31056.01,5448188.995,7.404,,,0,0.0
19,600519.SH,20200911,1688.0,1736.0,1688.0,1733.0,1705.8,27.200000000000053,1.5946,31088.0,5339883.408,7.404,,,0,0.0
20,600519.SH,20200910,1703.74,1720.0,1700.0,1705.8,1688.0,17.79999999999995,1.0545,24778.33,4236694.402,7.404,,,0,0.0
21,600519.SH,20200909,1699.67,1711.0,1680.04,1688.0,1711.4,-23.40000000000009,-1.3673,25963.55,4401806.095,7.404,,,0,0.0
22,600519.SH,20200908,1732.0,1737.8,1677.07,1711.4,1723.5,-12.099999999999907,-0.7021,34472.38,5865962.7239999985,7.404,,,0,0.0
23,600519.SH,20200907,1760.0,1777.99,1703.97,1723.5,1770.0,-46.5,-2.6271,31112.02,5446354.619,7.404,,,0,0.0
24,600519.SH,20200904,1766.0,1776.99,1746.0,1770.0,1793.0,-23.0,-1.2828,30857.96,5433479.408,7.404,1700.914,,0,0.0
25,600519.SH,20200903,1795.0,1812.0,1779.7,1793.0,1795.0,-2.0,-0.1114,30437.35,5471333.88,7.404,1702.934,,0,0.0
26,600519.SH,20200902,1825.0,1828.0,1770.0,1795.0,1801.98,-6.980000000000018,-0.3874,32009.29,5746351.923,7.404,1705.4008,,0,0.0
27,600519.SH,20200901,1792.0,1802.0,1775.01,1801.98,1786.5,15.480000000000016,0.8665,31639.92,5661594.315,7.404,1708.12,,0,0.0
28,600519.SH,20200831,1770.58,1816.0,1770.58,1786.5,1757.0,29.5,1.679,47810.36,8608932.57,7.404,1711.62,,0,0.0
29,600519.SH,20200828,1731.0,1764.0,1721.5,1757.0,1731.0,26.0,1.5019999999999998,42299.62,7389242.302,7.404,1713.42,,0,0.0
30,600519.SH,20200827,1731.99,1733.98,1705.0,1731.0,1727.0,4.0,0.2316,22635.53,3896759.4460000005,7.404,1713.66,,0,0.0
31,600519.SH,20200826,1734.0,1745.0,1715.02,1727.0,1727.0,0.0,0.0,26215.73,4530374.186000002,7.404,1716.0,,0,0.0
32,600519.SH,20200825,1704.8,1746.78,1698.63,1727.0,1696.35,30.65000000000009,1.8068,41872.49,7227309.774,7.404,1718.9879999999998,,0,0.0
33,600519.SH,20200824,1700.0,1708.0,1691.01,1696.35,1676.0,20.34999999999991,1.2142,30933.44,5260286.523,7.404,1720.4019999999998,,0,0.0
34,600519.SH,20200821,1673.0,1698.0,1671.0,1676.0,1664.0,12.0,0.7212,25082.41,4217048.42,7.404,1722.0375999999999,,0,0.0
35,600519.SH,20200820,1674.0,1679.0,1656.0,1664.0,1687.0,-23.0,-1.3634,22382.33,3727183.935,7.404,1723.4247999999998,,0,0.0
36,600519.SH,20200819,1700.0,1717.0,1682.99,1687.0,1705.0,-18.0,-1.0557,26914.98,4578143.762,7.404,1724.9055999999996,,0,0.0
37,600519.SH,20200818,1697.38,1720.0,1691.0,1705.0,1690.0,15.0,0.8876,30422.81,5192751.797,7.404,1726.4779999999996,,0,0.0
38,600519.SH,20200817,1674.0,1704.35,1670.0,1690.0,1661.0,29.0,1.7459,43572.01,7363610.8670000015,7.404,1727.4059999999995,,0,0.0
39,600519.SH,20200814,1639.9,1665.7,1631.0,1661.0,1635.0,26.0,1.5902,37653.18,6230475.427,7.404,1726.0459999999994,,0,0.0
40,600519.SH,20200813,1630.0,1638.88,1609.0,1635.0,1626.95,8.049999999999955,0.4948,20541.34,3341652.186,7.404,1724.6251999999995,,0,0.0
41,600519.SH,20200812,1633.0,1641.0,1605.25,1626.95,1642.51,-15.559999999999945,-0.9473,27933.92,4529267.493,7.404,1720.6991999999996,,0,0.0
42,600519.SH,20200811,1640.0,1666.43,1640.0,1642.51,1633.99,8.519999999999982,0.5214,35818.18,5936904.876,7.404,1715.9995999999996,,0,0.0
43,600519.SH,20200810,1627.97,1644.96,1608.11,1633.99,1631.0,2.990000000000009,0.1833,23623.54,3857721.122,7.404,1710.7191999999995,,0,0.0
44,600519.SH,20200807,1644.77,1649.67,1598.5,1631.0,1637.96,-6.960000000000036,-0.4249,34242.05,5560065.753,7.404,1706.6391999999996,,0,0.0
45,600519.SH,20200806,1670.0,1674.03,1630.0,1637.96,1668.0,-30.039999999999967,-1.801,32648.78,5372942.645,7.404,1703.9255999999993,,0,0.0
46,600519.SH,20200805,1662.09,1673.09,1643.31,1668.0,1669.99,-1.9900000000000089,-0.1192,25521.69,4236612.469,7.404,1703.1255999999994,,0,0.0
47,600519.SH,20200804,1675.0,1682.99,1660.0,1669.99,1668.0,1.9900000000000089,0.1193,31940.51,5337185.768,7.404,1701.4691999999993,,0,0.0
48,600519.SH,20200803,1686.88,1696.58,1660.0,1668.0,1678.18,-10.180000000000064,-0.6066,34661.14,5790041.422,7.404,1699.2491999999993,,0,0.0
49,600519.SH,20200731,1685.0,1705.0,1646.0,1678.18,1680.0,-1.8199999999999363,-0.1083,40684.74,6846747.33,7.404,1695.5763999999992,,0,0.0
50,600519.SH,20200730,1671.2,1700.59,1670.5,1680.0,1672.0,8.0,0.4785,38373.04,6486855.475,7.404,1691.0563999999993,,0,0.0
51,600519.SH,20200729,1690.0,1690.0,1633.0,1672.0,1670.0,2.0,0.1198,50748.43,8411789.967,7.404,1686.1363999999992,,0,0.0
52,600519.SH,20200728,1630.0,1680.0,1630.0,1670.0,1622.55,47.450000000000045,2.9244,54911.52,9133721.867,7.404,1680.8571999999992,,0,0.0
53,600519.SH,20200727,1616.01,1629.8,1600.0,1622.55,1595.3,27.25,1.7081,38788.17,6279664.444,7.404,1674.2991999999992,,0,0.0
54,600519.SH,20200724,1654.85,1666.0,1585.0,1595.3,1676.0,-80.70000000000005,-4.815,78752.01,12705941.887,7.404,1667.8311999999994,,0,0.0
55,600519.SH,20200723,1672.0,1691.0,1650.0,1676.0,1678.08,-2.0799999999999272,-0.124,34320.52,5739050.333,7.404,1665.6311999999994,,0,0.0
56,600519.SH,20200722,1658.0,1710.0,1658.0,1678.08,1668.0,10.079999999999927,0.6043,39201.21,6637265.372,7.404,1663.6743999999994,,0,0.0
57,600519.SH,20200721,1646.64,1702.8,1630.99,1668.0,1636.96,31.039999999999967,1.8962,41969.5,7026353.1510000015,7.404,1661.3143999999995,,0,0.0
58,600519.SH,20200720,1652.5,1663.99,1588.88,1636.96,1648.05,-11.089999999999918,-0.6729,45280.33,7363822.989,7.404,1658.9387999999994,,0,0.0
59,600519.SH,20200717,1620.0,1672.59,1620.0,1648.05,1614.0,34.049999999999955,2.1097,65902.06,10863420.089000003,7.404,1657.8207999999995,,0,0.0
60,600519.SH,20200716,1729.91,1729.91,1600.0,1614.0,1752.53,-138.52999999999997,-7.9046,102242.19,16901373.196,7.404,1655.8207999999995,,0,0.0
61,600519.SH,20200715,1744.88,1782.6,1744.71,1752.53,1762.0,-9.470000000000027,-0.5375,40712.94,7176560.649,7.404,1658.4419999999996,,0,0.0
62,600519.SH,20200714,1781.99,1782.03,1748.4,1762.0,1781.99,-19.990000000000013,-1.1218,46093.51,8135834.91,7.404,1660.7219999999995,,0,0.0
63,600519.SH,20200713,1714.68,1787.0,1714.68,1781.99,1713.85,68.1400000000001,3.9758,60727.16,10679460.274,7.404,1664.4015999999995,,0,0.0
64,600519.SH,20200710,1689.0,1736.6,1688.94,1713.85,1706.0,7.849999999999909,0.4601,37100.44,6352507.4679999985,7.404,1666.5155999999995,,0,0.0
65,600519.SH,20200709,1691.0,1712.0,1682.0,1706.0,1681.34,24.660000000000075,1.4667,35033.24,5951732.802999998,7.404,1669.3555999999994,,0,0.0
66,600519.SH,20200708,1680.0,1719.0,1660.0,1681.34,1688.0,-6.660000000000082,-0.3945,53169.98,8963189.092,7.404,1671.5311999999994,,0,0.0
67,600519.SH,20200707,1603.09,1744.82,1601.0,1688.0,1600.0,88.0,5.5,66663.93,11219852.098,7.404,1673.3507999999993,,0,0.0
68,600519.SH,20200706,1538.0,1616.0,1531.81,1600.0,1541.79,58.210000000000036,3.7755,51821.96,8228068.998,7.404,1671.9911999999995,,0,0.0
69,600519.SH,20200703,1550.0,1552.5,1516.88,1541.79,1544.0,-2.2100000000000364,-0.1431,35125.81,5395637.0320000015,7.404,1668.4227999999994,,0,0.0
70,600519.SH,20200702,1499.0,1550.9,1495.0,1544.0,1494.27,49.73000000000002,3.3280000000000003,45883.72,7014289.615,7.404,1664.6643999999994,,0,0.0
71,600519.SH,20200701,1468.0,1506.1,1464.02,1494.27,1462.88,31.38999999999988,2.1458,38682.49,5759640.251,7.404,1657.7151999999994,,0,0.0
72,600519.SH,20200630,1463.12,1468.98,1455.12,1462.88,1463.17,-0.2899999999999636,-0.0198,22446.14,3281641.199,7.404,1649.4307999999992,,0,0.0
73,600519.SH,20200629,1448.0,1466.0,1437.01,1463.17,1460.01,3.1600000000000823,0.2164,28080.61,4064048.236,7.404,1641.2375999999992,,0,0.0
74,600519.SH,20200624,1463.6,1465.71,1445.0,1460.01,1457.48,2.5299999999999727,0.1736,25138.99,3663537.115,7.404,1632.5107999999993,,0,0.0
75,600519.SH,20200623,1418.5258,1464.9862,1417.0628,1457.5723,1422.4799,35.0924,2.467,33934.26,4963194.685,7.319,1623.6136919999992,,0,0.0
76,600519.SH,20200622,1418.6246,1427.3137,1416.7465,1422.4799,1423.3102,-0.8302999999998519,-0.0583,23247.0,3343536.637,7.319,1613.6328879999992,,0,0.0
77,600519.SH,20200619,1403.698,1428.6087,1398.8543,1423.3102,1396.7784,26.531799999999976,1.8995,38958.33,5603232.6570000015,7.319,1603.7652959999991,,0,0.0
78,600519.SH,20200618,1388.7714,1396.9761,1384.0265,1396.7784,1388.8702,7.9081999999998525,0.5694,21010.41,2956800.081,7.319,1594.7344319999993,,0,0.0
79,600519.SH,20200617,1395.6515,1395.691,1379.0048,1388.8702,1387.7631,1.1071000000001732,0.0798,19453.07,2730097.12,7.319,1586.477239999999,,0,0.0
80,600519.SH,20200616,1382.4448,1397.7669,1377.1365,1387.7631,1367.1228,20.6402999999998,1.5098,29206.64,4099718.932,7.319,1574.9477639999989,,0,0.0
81,600519.SH,20200615,1385.9046,1395.3944,1365.1457,1367.1228,1400.1097,-32.98689999999988,-2.356,34615.41,4819512.188999998,7.319,1562.5094759999986,,0,0.0
82,600519.SH,20200612,1371.2449,1400.1097,1367.4292,1400.1097,1384.3823,15.727399999999989,1.1361,28427.42,3992323.389,7.319,1551.7938639999986,,0,0.0
83,600519.SH,20200611,1394.8112,1401.7111,1380.9522,1384.3823,1407.316,-22.93370000000005,-1.6296,30711.71,4314846.228,7.319,1541.6907559999986,,0,0.0
84,600519.SH,20200610,1408.6406,1416.875,1400.7324,1407.316,1400.2876,7.0283999999999205,0.5019,22700.74,3234843.8510000007,7.319,1532.0613959999985,,0,0.0
85,600519.SH,20200609,1391.8358,1408.6406,1384.5998,1400.2876,1389.9576,10.330000000000156,0.7432,22611.91,3199849.66,7.319,1523.5128999999986,,0,0.0
86,600519.SH,20200608,1408.6406,1418.5258,1385.9145,1389.9576,1408.6406,-18.683,-1.3263,29300.45,4145298.455,7.319,1509.0100039999988,,0,0.0
87,600519.SH,20200605,1389.1173,1412.4761,1384.9952,1408.6406,1391.8259,16.814699999999906,1.2081,18347.06,2597524.609,7.319,1494.8756279999986,,0,0.0
88,600519.SH,20200604,1379.9735,1394.8013,1379.9735,1391.8259,1383.2356,8.59030000000007,0.621,18037.41,2534459.742,7.319,1479.269063999999,,0,0.0
89,600519.SH,20200603,1398.7554,1401.2267,1379.7462,1383.2356,1394.5147,-11.279099999999973,-0.8088,23557.36,3308382.799,7.319,1466.0444879999989,,0,0.0
90,600519.SH,20200602,1399.7538,1411.5073,1390.5111,1394.5147,1403.2037,-8.689000000000078,-0.6192,25960.1,3679210.598,7.319,1453.585075999999,,0,0.0
91,600519.SH,20200601,1365.1457,1403.7969,1365.1457,1403.2037,1350.911,52.29269999999997,3.8709,35479.76,4986178.912,7.319,1442.459623999999,,0,0.0
92,600519.SH,20200529,1316.8071,1354.2522,1316.8071,1350.911,1328.5705,22.34050000000002,1.6815,30444.35,4144247.222,7.319,1428.976063999999,,0,0.0
93,600519.SH,20200528,1322.6097,1331.4768,1305.9631,1328.5705,1322.6394,5.931100000000013,0.4484,26485.91,3536546.893,7.319,1418.118883999999,,0,0.0
94,600519.SH,20200527,1343.3983,1344.3868,1317.6968,1322.6394,1342.4098,-19.770399999999878,-1.4728,26777.41,3596654.307,7.319,1409.352859999999,,0,0.0
95,600519.SH,20200526,1354.1534,1354.2226,1339.4442,1342.4098,1347.2535,-4.843700000000125,-0.3595,22470.19,3056188.3210000005,7.319,1401.2892519999991,,0,0.0
96,600519.SH,20200525,1314.7312,1350.8913,1305.8345,1347.2535,1312.9519,34.30160000000001,2.6126,31561.0,4260387.678,7.319,1395.408591999999,,0,0.0
97,600519.SH,20200522,1350.3179,1350.4168,1307.693,1312.9519,1350.4168,-37.464899999999936,-2.7743,34427.46,4608696.074,7.319,1389.4114679999993,,0,0.0
98,600519.SH,20200521,1339.4442,1356.2095,1337.3288,1350.4168,1335.4901,14.926699999999983,1.1177,23051.58,3147105.462,7.319,1384.9013399999994,,0,0.0
99,600519.SH,20200520,1330.6563,1343.5762,1321.463,1335.4901,1330.6563,4.833799999999883,0.3633,21183.4,2859455.106,7.319,1379.9205439999994,1602.2304360000003,0,0.0
100,600519.SH,20200519,1348.3409,1348.3409,1322.6394,1330.6563,1330.7551,-0.0987999999999829,-0.0074,24787.46,3342210.487,7.319,1374.8439039999994,1598.1119990000004,0,0.0
