,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,601788.SH,20200917,21.53,21.83,21.1,21.33,21.72,-0.39000000000000057,-1.8,583579.53,1249217.545,1.21
1,601788.SH,20200916,21.87,22.16,21.58,21.72,21.86,-0.14000000000000057,-0.64,453501.43,992913.071,1.21
2,601788.SH,20200915,22.0,22.07,21.78,21.86,22.04,-0.17999999999999972,-0.82,399292.42,873541.751,1.21
3,601788.SH,20200914,21.87,22.27,21.58,22.04,21.78,0.259999999999998,1.19,536581.64,1175667.85,1.21
4,601788.SH,20200911,21.65,22.18,21.34,21.78,22.12,-0.33999999999999986,-1.54,720642.75,1562438.005,1.21
