,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,601117.SH,20200915,5.53,5.55,5.5,5.54,5.52,0.020000000000000462,0.36,122011.15,67473.492,1.156
1,601117.SH,20200914,5.54,5.54,5.48,5.52,5.52,0.0,0.0,135198.0,74529.161,1.156
2,601117.SH,20200911,5.5,5.54,5.48,5.52,5.52,0.0,0.0,147899.16,81505.655,1.156
3,601117.SH,20200910,5.63,5.63,5.48,5.52,5.58,-0.0600000000000005,-1.08,252884.46,140214.768,1.156
4,601117.SH,20200909,5.58,5.65,5.56,5.58,5.63,-0.04999999999999982,-0.89,195133.94,109378.501,1.156
5,601117.SH,20200908,5.61,5.65,5.57,5.63,5.59,0.040000000000000036,0.72,195034.75,109427.764,1.156
6,601117.SH,20200907,5.68,5.72,5.58,5.59,5.7,-0.11000000000000032,-1.93,340088.7,192255.246,1.156
7,601117.SH,20200904,5.7,5.74,5.68,5.7,5.76,-0.05999999999999961,-1.04,208696.41,118926.146,1.156
8,601117.SH,20200903,5.76,5.82,5.74,5.76,5.79,-0.03000000000000025,-0.52,224281.97,129340.963,1.156
9,601117.SH,20200902,5.77,5.84,5.69,5.79,5.77,0.020000000000000462,0.35,312088.59,179798.48,1.156
10,601117.SH,20200901,5.83,5.84,5.74,5.77,5.86,-0.09000000000000075,-1.54,321633.28,185886.486,1.156
11,601117.SH,20200831,5.88,5.93,5.8,5.86,5.88,-0.019999999999999574,-0.34,360710.4,211634.268,1.156
12,601117.SH,20200828,5.81,5.88,5.77,5.88,5.82,0.05999999999999961,1.03,272849.92,158910.142,1.156
13,601117.SH,20200827,5.79,5.84,5.77,5.82,5.81,0.010000000000000675,0.17,170114.84,98698.397,1.156
14,601117.SH,20200826,5.87,5.89,5.77,5.81,5.88,-0.07000000000000028,-1.19,270128.76,157468.514,1.156
15,601117.SH,20200825,5.99,6.0,5.87,5.88,5.99,-0.11000000000000032,-1.84,300253.29,178004.878,1.156
16,601117.SH,20200824,5.83,6.02,5.81,5.99,5.82,0.16999999999999993,2.92,563258.29,335350.374,1.156
17,601117.SH,20200821,5.86,5.89,5.78,5.82,5.85,-0.02999999999999936,-0.51,306060.0,178327.376,1.156
18,601117.SH,20200820,5.93,5.96,5.82,5.85,5.94,-0.09000000000000075,-1.52,290906.35,171174.914,1.156
19,601117.SH,20200819,6.02,6.03,5.93,5.94,6.0,-0.05999999999999961,-1.0,364365.66,217437.289,1.156
20,601117.SH,20200818,5.98,6.03,5.91,6.0,5.98,0.019999999999999574,0.33,496581.88,297237.044,1.156
21,601117.SH,20200817,5.82,5.98,5.8,5.98,5.81,0.17000000000000082,2.93,655100.01,387232.074,1.156
