,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,003816.SZ,20200918,2.93,2.96,2.92,2.96,2.93,0.029999999999999805,1.0239,441573.37,129654.298,1.025
1,003816.SZ,20200917,2.94,2.95,2.92,2.93,2.94,-0.009999999999999787,-0.3401,308996.62,90570.677,1.025
2,003816.SZ,20200916,2.94,2.96,2.92,2.94,2.94,0.0,0.0,243339.89,71588.933,1.025
3,003816.SZ,20200915,2.95,2.96,2.93,2.94,2.95,-0.010000000000000231,-0.339,280147.15,82304.74,1.025
4,003816.SZ,20200914,2.95,2.96,2.94,2.95,2.95,0.0,0.0,255633.31,75382.827,1.025
5,003816.SZ,20200911,2.94,2.96,2.93,2.95,2.95,0.0,0.0,284596.82,83787.282,1.025
