,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,002129.SZ,20200918,23.32,23.5,22.6,23.16,23.3,-0.14000000000000057,-0.6009,504823.5,1160966.797,4.225
1,002129.SZ,20200917,22.39,23.66,22.11,23.3,22.55,0.75,3.3259,832677.82,1913777.542,4.225
2,002129.SZ,20200916,21.75,23.19,21.59,22.55,21.83,0.7200000000000024,3.2982,770616.08,1736450.971,4.225
3,002129.SZ,20200915,21.82,22.04,21.24,21.83,21.71,0.11999999999999744,0.5527,362050.51,782979.426,4.225
4,002129.SZ,20200914,22.16,22.76,21.47,21.71,22.03,-0.3200000000000003,-1.4526,649018.82,1432209.131,4.225
5,002129.SZ,20200911,20.28,22.22,20.13,22.03,20.21,1.8200000000000003,9.0054,592203.23,1261712.354,4.225
