,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,600025.SH,20200917,4.29,4.33,4.2,4.22,4.29,-0.07000000000000028,-1.63,418723.03,177867.816,1.099
1,600025.SH,20200916,4.26,4.36,4.23,4.29,4.25,0.040000000000000036,0.94,452366.54,194305.088,1.099
2,600025.SH,20200915,4.26,4.29,4.21,4.25,4.25,0.0,0.0,332350.04,141379.658,1.099
3,600025.SH,20200914,4.18,4.26,4.13,4.25,4.16,0.08999999999999986,2.16,473524.75,199038.822,1.099
4,600025.SH,20200911,4.14,4.2,4.13,4.16,4.17,-0.009999999999999787,-0.24,281634.23,117184.642,1.099
