,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,601555.SH,20200918,9.72,10.27,9.71,10.23,9.75,0.4800000000000004,4.9231,558157.04,559686.128,1.189
1,601555.SH,20200917,9.76,9.85,9.66,9.75,9.81,-0.0600000000000005,-0.6116,215869.09,210435.493,1.189
2,601555.SH,20200916,9.86,9.96,9.76,9.81,9.85,-0.03999999999999915,-0.4061,237030.02,233657.184,1.189
3,601555.SH,20200915,9.81,9.91,9.73,9.85,9.85,0.0,0.0,235072.04,231109.402,1.189
4,601555.SH,20200914,9.9,9.94,9.76,9.85,9.86,-0.009999999999999787,-0.1014,217513.0,214010.631,1.189
5,601555.SH,20200911,9.74,9.87,9.65,9.86,9.77,0.08999999999999986,0.9212,297339.6,291150.193,1.189
