,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,000157.SZ,20200918,8.49,8.6,8.42,8.58,8.51,0.07000000000000028,0.8226,588588.48,502766.579,71.013
1,000157.SZ,20200917,8.3,8.58,8.25,8.51,8.29,0.22000000000000064,2.6538,755693.42,639990.106,71.013
2,000157.SZ,20200916,8.25,8.37,8.17,8.29,8.3,-0.010000000000001563,-0.1205,365967.54,302816.875,71.013
3,000157.SZ,20200915,8.04,8.32,7.97,8.3,8.07,0.23000000000000043,2.8501,593701.48,488232.522,71.013
4,000157.SZ,20200914,8.05,8.09,7.96,8.07,8.0,0.07000000000000028,0.875,372609.35,298694.572,71.013
5,000157.SZ,20200911,7.98,8.08,7.94,8.0,7.99,0.009999999999999787,0.1252,339283.89,271248.765,71.013
