,ts_code,net_flow,net_flow_std,rank,change,ma_crossover,score
0,600519.SH,2392611.0433333335,1.6003140786592576,1.5166666666666666,55.522600000000025,42,23.99438890264445
1,600104.SH,22764789.125490196,2.772500575767949,6.372549019607843,69.45509999999999,46,30.799521923382272
2,601901.SH,148376119.50877193,10.0,5.175438596491228,25.031100000000002,93,40.33424228070175
3,600309.SH,18934673.11764706,2.552121083273436,7.647058823529412,69.74100000000003,48,30.009251485114433
4,603993.SH,130373498.1,8.964154463856516,7.1,14.069199999999999,90,33.49322339156954
5,600703.SH,17481683.333333332,2.4685180930216886,7.833333333333333,26.409499999999998,81,17.3817376123984
6,603288.SH,9036435.727272727,1.9825904141725519,7.659090909090909,23.2957,58,14.564663060699473
7,600415.SH,686890.9,1.5021693387203874,3.466666666666667,41.6497,123,20.76808468282783
8,601328.SH,21314783.433333334,2.6890692859852576,8.2,16.3175,72,14.762457857955772
9,600183.SH,-11710208.157894736,0.7888576810085984,6.368421052631579,65.4575,54,23.810138832499476
10,600031.SH,23664656.666666668,2.824277689471727,6.869918699186992,85.7161,65,36.11367932857778
11,600004.SH,-22927146.0625,0.1434508375350952,7.375,-1.2641000000000027,74,2.0561225126052847
12,601939.SH,1321175.0810810812,1.538665159117917,7.391891891891892,39.59579999999999,65,18.31635709897537
13,600036.SH,59384848.70666666,4.879567340610707,4.95,37.31439999999997,73,28.303022021832113
14,601166.SH,2604052.6766666668,1.612480133094891,7.1033333333333335,38.6694,85,18.717593732618006
15,600482.SH,-8544655.421052631,0.9709991368238581,5.631578947368421,26.6031,91,13.58761162099789
16,600570.SH,10648083.18918919,2.075322344226344,6.216216216216216,38.31679999999999,74,19.957763789435788
17,601211.SH,-4527953.666666667,1.202114510958931,6.933333333333334,13.667,89,10.099776866210128
18,600489.SH,404675.625,1.4859310684039426,6.0625,12.068999999999999,76,10.385993205211827
19,603259.SH,23879016.923076924,2.836611677377563,7.846153846153846,4.4986000000000015,24,10.770184262901921
20,601336.SH,-25420269.82352941,0.0,6.882352941176471,-12.818199999999997,72,-1.7819305882352932
21,600029.SH,137660463.42857143,9.383436208233762,8.714285714285714,13.744200000000001,73,33.990711481844144
22,601766.SH,17485188.266666666,2.468719761960082,7.8,18.2059,104,15.387929285880245
23,601888.SH,8564653.77,1.9554447433628621,6.696666666666666,80.62750000000004,53,31.775250896755264
24,601688.SH,41891701.56410257,3.8730362377627117,6.743589743589744,8.880999999999991,95,16.834690764570183
25,601988.SH,-2247216.5,1.3333449223287475,7.821428571428571,17.674099999999996,84,11.417979052700527
26,600028.SH,24928104.028846152,2.896974675124505,7.326923076923077,19.547200000000007,59,16.269699409988903
27,600837.SH,-24550514.333333332,0.05004450860789134,5.888888888888889,-1.3681999999999999,105,2.6618957480458962
28,600867.SH,-7468273.769230769,1.0329326243926824,7.615384615384615,-20.453200000000006,75,-1.0602390498988776
29,601398.SH,27048375.591836736,3.0189721211667573,7.904761904761905,26.8217,59,18.702473982547893
30,601600.SH,3355499.59375,1.6557173326690753,4.03125,33.7552,89,18.067461998007225
31,600741.SH,23160434.55882353,2.7952654579875014,7.4411764705882355,43.878999999999984,45,22.96126107984485
32,601318.SH,33294926.42,3.37838987732162,1.9566666666666668,25.930000000000017,68,20.88283629863153
33,600585.SH,38366895.20666666,3.6702238334902364,6.14,78.18439999999997,53,36.2979915004707
34,601668.SH,5895574.863636363,1.801869694041192,6.121212121212121,96.48100000000005,76,36.64566665788117
35,600048.SH,11332108.608938547,2.1146802055937335,7.307262569832402,115.04480000000001,48,42.356028102814726
36,600066.SH,3660779.120689655,1.6732826876291231,6.206896551724138,-17.5284,89,2.2999487525425417
37,601012.SH,18002946.32,2.498510832725274,7.94,11.5286,80,12.966112498175821
38,600406.SH,14532003.6,2.298797666454396,6.733333333333333,-20.145699999999994,62,2.7460163326965237
39,601138.SH,57066193.583333336,4.746155183301729,7.0,30.837699999999998,26,24.609775549905184
40,600900.SH,28804605.28787879,3.1200231097856364,6.742424242424242,19.175999999999995,54,16.84438448087206
